,nation,class,tier,prem,name,players,total battles,battles,win,draw,lose,exp,damagecaused,warshipdestroyed,aircraftdestoryed,basecapture,basedefense,survived,kill /death,agrodamage,spotdamage,hitratio
20,IT,CA,2,,Nino Bixio,8464,19302,2.28,49.63,0.45,49.92,621,15734,0.81,0.0,4.17,8.6,26.23,1.1,177565,2001,38.58
21,IT,CA,3,,Taranto,9203,32610,3.54,49.74,0.35,49.91,688,18629,0.75,0.07,6.88,6.6,21.06,0.95,286540,3789,38.3
22,IT,CA,4,,Alberto di Giussano,9249,48188,5.21,51.73,0.41,47.86,790,22159,0.78,4.36,6.62,6.33,21.09,0.99,357691,5116,36.38
23,IT,CA,5,,Raimondo Montecuccoli,12692,90730,7.15,51.04,0.07,48.89,984,23389,0.58,2.62,6.38,5.61,23.88,0.76,477275,8752,32.27
24,IT,CA,5,P,Genova,1976,7176,3.63,51.9,0.06,48.05,1044,23749,0.58,1.29,4.65,4.61,19.4,0.72,445750,8068,32.66
25,IT,CA,6,,Trento,12179,104799,8.6,50.01,0.05,49.94,1146,31228,0.63,2.27,5.1,5.55,24.66,0.84,551401,8658,30.98
26,IT,CA,6,P,Duca d'Aosta,1975,9034,4.57,49.38,0.06,50.56,1166,26526,0.57,1.95,5.55,6.67,23.74,0.75,596975,10725,32.41
27,IT,CA,7,,Zara,9116,106575,11.69,51.39,0.03,48.58,1398,40354,0.7,1.63,6.46,6.99,33.51,1.05,622203,11166,35.05
28,IT,CA,7,P,Duca degli Abruzzi,2792,10417,3.73,49.56,0.03,50.41,1266,30860,0.58,1.29,5.99,6.76,28.27,0.81,658961,11847,31.99
29,IT,CA,7,P,Gorizia,3458,15360,4.44,52.37,0.05,47.58,1439,41181,0.73,1.24,7.05,7.72,35.83,1.14,659194,12365,36.07
30,IT,CA,8,,Amalfi,7419,123321,16.62,51.4,0.03,48.57,1575,46644,0.68,3.1,7.62,6.8,33.37,1.02,737198,14131,37.54
31,IT,CA,9,,Brindisi,4953,109545,22.12,50.32,0.02,49.67,1654,61675,0.74,1.84,6.82,6.96,40.1,1.24,840513,16604,37.08
32,IT,CA,10,,Venezia,8413,167975,19.97,52.57,0.02,47.4,2029,89708,0.92,3.4,7.14,7.15,52.52,1.94,1146444,22920,36.88
33,JP,BB,2,P,Mikasa,1858,7026,3.78,57.84,0.03,42.13,609,16273,0.91,0.0,4.41,6.48,41.46,1.55,339281,3008,28.7
34,JP,BB,3,,Kawachi,13505,61297,4.54,48.51,0.26,51.23,754,27153,1.03,0.03,6.56,10.13,36.41,1.62,377982,2989,28.77
35,JP,BB,4,,Myogi,13204,85462,6.47,47.63,0.29,52.08,809,31668,0.83,2.05,5.14,7.98,34.41,1.27,517412,4071,28.09
36,JP,BB,4,P,Ishizuchi,10280,46488,4.52,49.19,0.21,50.6,790,34075,0.92,0.23,4.93,7.7,32.23,1.36,501445,4003,24.96
37,JP,BB,5,,Kongo,18717,174215,9.31,48.47,0.06,51.47,953,30549,0.56,2.29,2.93,3.65,34.42,0.85,742163,8566,21.78
38,JP,BB,5,P,ARP Haruna,1988,7135,3.59,54.35,0.04,45.61,1108,43139,0.87,2.75,4.47,4.43,40.04,1.45,818510,9675,25.75
39,JP,BB,5,P,ARP Hiei,3357,13305,3.96,53.95,0.08,45.97,1093,42311,0.84,2.66,3.98,4.36,37.01,1.33,811355,9543,25.58
40,JP,BB,5,P,ARP Kirishima,2349,8309,3.54,54.8,0.07,45.13,1096,42476,0.87,2.67,3.96,4.31,39.07,1.43,778730,9503,25.13
41,JP,BB,5,P,ARP Kongo,4550,17474,3.84,55.33,0.04,44.63,1114,43165,0.87,2.67,4.1,4.56,38.86,1.42,808690,9604,25.77
42,JP,BB,6,,Fuso,15779,180264,11.42,49.65,0.06,50.29,1162,41789,0.7,2.03,2.45,4.37,38.39,1.14,849806,8886,19.86
43,JP,BB,6,P,Mutsu,4421,18454,4.17,51.11,0.07,48.82,1305,45552,0.76,1.6,3.06,3.6,31.24,1.11,830876,9632,24.27
44,JP,BB,7,,Nagato,12774,165233,12.94,48.32,0.03,51.65,1252,45663,0.63,1.54,2.43,3.67,35.04,0.97,850497,10495,23.91
45,JP,BB,7,P,Ashitaka,5418,20423,3.77,48.29,0.03,51.68,1121,44464,0.62,0.56,2.51,3.29,30.42,0.89,810434,9891,22.41
46,JP,BB,8,,Amagi,10058,170275,16.93,48.88,0.04,51.09,1377,53340,0.66,3.1,2.95,3.97,36.93,1.05,1122202,14362,24.71
47,JP,BB,8,P,Ignis Purgatio,784,3669,4.68,50.29,0.03,49.69,1501,54666,0.68,3.14,3.73,3.78,34.42,1.04,1157469,16008,26.81
48,JP,BB,8,P,Kii,3157,26660,8.44,49.53,0.04,50.43,1472,52884,0.68,4.8,2.93,3.55,34.07,1.03,1148275,14833,23.82
49,JP,BB,8,P,Ragnarok,683,3375,4.94,48.56,0.0,51.44,1488,53541,0.66,3.3,3.48,3.87,34.46,1.01,1178608,15972,26.82
50,JP,BB,9,,Izumo,6161,143291,23.26,46.88,0.01,53.11,1436,60035,0.6,1.31,2.64,3.94,33.46,0.9,1247844,17114,28.17
51,JP,BB,9,P,Musashi,8976,105299,11.73,55.64,0.01,44.35,1746,92497,1.02,1.22,3.84,4.19,44.11,1.83,1397588,18413,28.14
52,JP,BB,10,P,Shikishima,402,7880,19.6,58.67,0.04,41.29,2185,118687,1.08,3.48,3.35,4.04,46.43,2.02,1632110,23906,32.89
53,JP,BB,10,,Yamato,18419,322591,17.51,49.43,0.02,50.56,1817,84418,0.73,2.39,2.56,3.43,37.82,1.17,1472128,19715,27.84
54,JP,CA,1,,Hashidate,16803,38368,2.28,44.9,1.27,53.83,763,12111,2.19,0.0,3.03,13.28,39.87,3.64,89651,490,48.2
55,JP,CA,2,,Chikuma,22584,61453,2.72,48.41,1.04,50.55,682,18343,1.08,0.0,3.66,10.37,32.27,1.59,210263,1492,50.03
56,JP,CA,3,,Tenryu,18552,77950,4.2,47.83,0.85,51.32,749,22140,0.94,0.03,6.24,7.37,22.17,1.21,236298,2725,41.32
57,JP,CA,3,P,Katori,1484,3951,2.66,55.0,0.03,44.98,788,24246,0.93,1.65,5.45,9.12,30.14,1.33,272411,3715,40.3
58,JP,CA,4,,Kuma,13203,94824,7.18,50.14,0.78,49.09,768,23826,0.84,1.14,6.04,6.86,20.59,1.06,315064,4180,34.75
59,JP,CA,4,P,Iwaki Alpha,186,826,4.44,65.86,0.0,34.14,1115,40326,1.51,1.32,14.58,7.33,34.14,2.29,306881,6005,50.44
60,JP,CA,4,P,Yubari,5697,25406,4.46,52.84,0.22,46.93,823,22162,0.81,5.1,7.58,7.02,23.14,1.05,317775,5080,40.91
61,JP,CA,5,,Furutaka,15708,137882,8.78,50.13,0.07,49.8,933,19430,0.47,1.16,4.37,3.92,19.79,0.59,492921,8893,34.88
62,JP,CA,5,P,Yahagi,1521,5817,3.82,54.24,0.12,45.64,1070,26784,0.7,2.11,6.08,6.3,26.53,0.95,437429,9369,30.68
63,JP,CA,6,,Aoba,11923,111701,9.37,49.12,0.05,50.82,1118,26219,0.53,1.74,4.82,4.78,23.49,0.69,555061,9857,34.47
64,JP,CA,7,,Myoko,9380,113480,12.1,49.15,0.03,50.82,1246,35401,0.59,1.69,4.44,5.17,27.03,0.81,605515,10968,32.04
65,JP,CA,7,P,ARP Ashigara,1184,4993,4.22,49.87,0.04,50.09,1208,38502,0.66,1.88,4.78,5.47,27.68,0.91,620743,11166,32.97
66,JP,CA,7,P,ARP Haguro,1467,7108,4.85,50.24,0.04,49.72,1128,37330,0.64,1.86,4.8,5.41,28.64,0.9,610733,11040,32.64
67,JP,CA,7,P,ARP Myoko,2816,13735,4.88,52.49,0.03,47.48,1359,43350,0.76,1.93,5.4,5.75,32.3,1.12,625500,11717,34.0
68,JP,CA,7,P,ARP Nachi,1260,5095,4.04,51.48,0.02,48.5,1196,37884,0.65,1.91,5.48,5.53,28.79,0.91,619060,11451,33.06
69,JP,CA,7,P,Eastern Dragon,138,385,2.79,52.99,0.0,47.01,1451,41934,0.8,1.89,5.14,5.41,27.27,1.1,628532,11548,34.42
70,JP,CA,7,P,Southern Dragon,944,3499,3.71,50.93,0.06,49.01,1259,39149,0.7,2.0,5.11,5.75,27.92,0.97,620909,11341,33.66
71,JP,CA,8,,Mogami,9499,138298,14.56,49.37,0.03,50.6,1409,41969,0.6,2.08,5.66,5.86,28.54,0.84,633939,13396,32.03
72,JP,CA,8,P,ARP Takao,4136,32626,7.89,53.21,0.02,46.77,1501,47633,0.72,2.72,7.66,6.25,36.92,1.14,788984,16999,36.79
73,JP,CA,8,P,Atago,10549,90088,8.54,50.04,0.04,49.92,1420,40723,0.59,2.36,6.04,5.23,32.48,0.87,750179,15582,35.22
74,JP,CA,8,P,Atago B,1280,10467,8.18,53.35,0.02,46.63,1577,47532,0.72,2.61,7.63,6.19,38.09,1.16,788020,17166,36.95
75,JP,CA,9,,Ibuki,5614,97903,17.44,48.07,0.02,51.92,1462,52816,0.61,1.57,5.97,6.14,37.27,0.97,777972,16850,32.63
