,Player,Battles,Rank,Win rate,Avg. frags,Avg. damage
463,VIPversatile,44,9,50%,0.98,110 596
463,BattleWoLFz,14,11,50%,0.93,102 377
463,Bodycount_PDX,44,8,50%,0.82,124 692
463,Coppinger_the_Cruel,14,10,50%,1.0,68 971
463,Evangard,20,11,50%,0.85,78 259
463,HakenXD,14,9,50%,1.07,87 197
463,Winston_MTB,16,10,50%,1.62,121 066
463,kagolu,34,10,50%,0.44,69 818
463,clevelandbestshipfu,14,14,50%,1.21,125 651
463,BasJon,22,11,50%,0.45,48 597
463,Driftwood_Tara,14,15,50%,0.64,76 358
463,Hungria15,14,10,50%,0.93,90 386
463,Want_Peach,24,12,50%,0.71,92 448
463,CHAOS_in_the_N1GHT,42,10,50%,0.55,54 465
463,TheOriginal28,24,10,50%,0.67,35 302
463,BallinCupCakes,20,12,50%,0.9,93 141
463,TenthIkarus,16,12,50%,0.44,116 345
463,Ethorina,22,11,50%,0.64,88 544
463,SniperCV,22,12,50%,0.73,70 667
463,Emanuel_Tiberi,18,13,50%,0.44,47 767
463,USS_Lucifer_Morningstar,20,11,50%,0.8,65 678
463,D845GVSR,16,9,50%,0.62,69 077
463,Simitsumiumi,16,11,50%,0.75,113 477
463,W4ves,30,10,50%,0.63,44 621
463,pw3000,18,10,50%,1.0,78 098
463,Geargiong,20,11,50%,0.85,69 378
463,Oshirigami,34,9,50%,0.41,36 461
463,CapitaoSamurai,18,12,50%,0.44,45 195
556,BlackSoulRazor,55,10,49.09%,1.2,82 311
557,gerabo,49,9,48.98%,0.61,93 217
558,letsGO4660,41,10,48.78%,0.54,62 694
559,instile,39,11,48.72%,0.67,64 847
560,biggestpotato,64,9,48.44%,0.52,61 007
561,Darko363,29,10,48.28%,1.0,105 302
562,Bugfire,27,9,48.15%,0.81,65 174
562,wing_zero1919,27,10,48.15%,0.56,67 893
562,SFNL,27,10,48.15%,0.74,90 456
562,KZLU,27,10,48.15%,0.78,60 047
566,Lieselotte,50,9,48%,0.64,68 463
566,WorldWideHaterade,25,11,48%,0.76,69 612
566,Banks_66,25,10,48%,0.8,74 358
566,Fubuki_SuKi,25,9,48%,0.84,105 627
566,R0B0T_CAMEL,25,10,48%,0.8,67 394
571,eomerfran,23,10,47.83%,0.57,79 819
571,StealthWare,23,10,47.83%,0.57,51 555
571,Niko_Teen,23,18,47.83%,0.7,86 458
571,2013ngk,23,15,47.83%,0.61,53 908
571,P1NG__,23,11,47.83%,0.65,68 933
576,Ahr1,21,13,47.62%,0.71,89 521
577,Loco_Bandito,59,10,47.46%,0.61,58 511
578,kalor1,19,11,47.37%,0.26,31 326
578,KIRK_007,19,11,47.37%,0.63,59 236
578,wilson0808,38,10,47.37%,0.45,41 427
578,Gryphen_Ghost,19,10,47.37%,0.68,64 757
578,stylishnoob,19,10,47.37%,0.53,84 287
578,LJNM,19,11,47.37%,1.05,74 444
584,1cluelesswonder,17,10,47.06%,0.71,46 891
584,Llaredrum,17,13,47.06%,0.59,90 705
584,Yukon_guy,17,12,47.06%,0.53,74 347
584,Burninator_USAF,17,13,47.06%,0.29,71 547
584,Cifer_,17,11,47.06%,0.41,50 667
584,TheTownBully,17,10,47.06%,0.41,45 351
584,Wolfpack2_2016,34,10,47.06%,0.62,91 881
584,Gruffilo,17,14,47.06%,0.71,66 684
584,jjspacecat10,34,10,47.06%,0.62,79 434
584,ITZ_ACE_BABY,17,9,47.06%,0.94,106 559
584,Fiera62,17,12,47.06%,0.71,96 125
584,Featherdustr,17,10,47.06%,0.59,108 175
584,broadsidebilly,17,11,47.06%,0.47,57 308
584,Jason_o7,17,10,47.06%,1.06,98 174
584,Indominus752,17,11,47.06%,0.76,110 109
599,scorpion_999999,49,10,46.94%,0.8,97 485
600,PwndU,15,11,46.67%,1.07,95 694
600,Major_Dent,30,11,46.67%,0.7,102 438
600,GetKrushed,15,13,46.67%,0.8,65 308
600,Deus102,15,10,46.67%,1.13,100 333
600,5p4rtan,15,10,46.67%,0.27,70 781
600,ngE_2,15,13,46.67%,0.67,59 607
600,Salvo_Creative,15,12,46.67%,0.4,55 061
600,Grimmboxer,15,12,46.67%,1.0,81 187
600,SirCraig89,15,11,46.67%,0.4,62 423
600,tmangoober,15,12,46.67%,0.53,54 788
600,Wardawg116,15,11,46.67%,0.47,39 376
600,Duke_Brandon,15,10,46.67%,1.07,109 179
600,locodude44,15,10,46.67%,0.67,62 474
600,2116131813,15,11,46.67%,1.0,117 060
600,lone5wolf25,15,12,46.67%,0.4,66 831
600,Leap_4rog,30,11,46.67%,0.67,87 500
600,aikekeya,15,10,46.67%,1.33,88 705
600,_BattleCruiser_Hyperion_,15,14,46.67%,0.67,85 586
600,ExplodiSeuToba,15,14,46.67%,0.4,47 288
600,bonkbonk_was_taken,15,10,46.67%,0.6,94 525
620,BerbeckII,26,10,46.15%,0.88,44 095
620,tangerine007,26,13,46.15%,0.58,59 733
620,STRICKEAGLE,26,11,46.15%,0.46,54 085
620,KimiC,26,12,46.15%,0.69,59 869
624,BigGun101,24,10,45.83%,0.88,82 262
624,YaoYaoCheckOut,24,10,45.83%,0.62,153 441
624,Supernova_1,24,11,45.83%,1.12,119 684
624,jerry658,24,11,45.83%,0.33,40 685
624,XXPanther,24,10,45.83%,0.71,81 030
624,navast_1,24,15,45.83%,0.12,26 216
630,Commodore_Felix,46,10,45.65%,0.63,78 807
631,mahdee08,90,10,45.56%,0.3,33 712
632,Spirit_of_76,22,11,45.45%,0.59,64 493
632,jjerryemery,22,12,45.45%,0.82,62 595
632,RodrigoVasconcelos,22,10,45.45%,0.86,67 887
632,ParrenC,22,10,45.45%,0.41,70 527
632,shurrock3,33,10,45.45%,0.52,96 500
637,sir_oregon,20,12,45%,0.55,67 249
637,Really777,20,10,45%,0.6,109 335
637,jean19paul,20,12,45%,0.6,72 484
637,Seleucus24,20,9,45%,0.65,88 168
637,Duchangxanh,20,18,45%,1.1,85 934
637,Capt_Torro,20,14,45%,0.6,54 335
637,admiralsexybeast,20,13,45%,0.4,82 377
637,12Idiot_AnotherSide,20,10,45%,0.9,59 775
637,mattbyte21,20,11,45%,1.0,117 075
637,GSP_Jax,20,11,45%,0.55,58 397
637,Shock_de_Ordem,20,11,45%,1.0,111 881
637,CALTAC,20,12,45%,0.5,40 851
637,A_LuckyBoy,20,11,45%,1.15,118 381
650,tccstorey,29,11,44.83%,0.41,60 378
650,Nozdorm,29,11,44.83%,0.9,100 848
652,VanquishBlack,18,11,44.44%,0.44,64 826
652,tkdaniel,18,11,44.44%,1.5,100 625
652,CitizenS9,27,10,44.44%,1.19,106 908
652,Dchristian125,18,14,44.44%,0.56,69 324
652,WILFREDO_YSS,63,11,44.44%,0.33,43 159
652,curco,18,10,44.44%,0.44,71 979
652,AresvirusInfection,18,9,44.44%,0.78,91 911
652,molchu1,18,14,44.44%,0.89,47 504
660,Brother_Tim,34,11,44.12%,0.47,39 812
661,CDR_USN_Ret,25,11,44%,0.4,59 195
661,brcp13,25,12,44%,0.56,82 280
661,Choroi_DD,50,11,44%,0.6,69 504
664,Alliedcom,66,11,43.94%,0.74,70 214
665,chechareo,16,10,43.75%,0.81,88 086
665,TinCanBlaster,16,13,43.75%,0.31,23 212
665,Mrpickles15,16,12,43.75%,0.44,82 684
665,mastermarksmen,16,10,43.75%,0.88,93 833
665,Kaligula_Varyag,16,12,43.75%,1.12,100 685
665,mogoyete89,16,10,43.75%,0.5,34 852
665,flight101,16,14,43.75%,0.75,88 709
665,AikaRose,16,12,43.75%,0.31,69 494
665,FlamingWarHammer,32,11,43.75%,0.91,84 353
665,Atoric,16,14,43.75%,0.62,77 032
665,Gun_Boss,32,15,43.75%,0.41,71 203
665,embeddeddear97,16,10,43.75%,0.69,115 608
665,Spumma,16,10,43.75%,0.88,60 445
