,Player,Battles,Rank,Win rate,Avg. frags,Avg. damage
67,Ryno595,17,10,70.59%,0.76,63 199
68,Tokoyami_Towa,17,8,70.59%,0.71,76 129
69,Bows3r,17,14,70.59%,1.24,90 801
70,Kanak_Unconquerable_hero,17,8,70.59%,0.94,74 950
71,carvalho_2016,17,9,70.59%,0.47,69 960
72,Turret_Syndrome_,17,12,70.59%,1.35,114 933
73,901234,20,9,70%,1.4,115 482
74,ABCounter,20,10,70%,0.75,106 121
75,Sendaria,30,6,70%,0.9,116 933
76,topgeared,30,8,70%,0.9,83 110
77,Goruss,23,9,69.57%,0.78,76 272
78,RemoveCVcomplainers,49,5,69.39%,1.22,125 218
79,BakaTofu,26,8,69.23%,1.19,127 547
80,Soviet_Bagutte,42,5,69.05%,1.07,100 087
81,Warlord78,16,8,68.75%,1.25,90 816
82,CaptainBB64,16,11,68.75%,0.69,71 461
83,Cruiser_Zara,16,10,68.75%,1.5,143 154
84,djkungpowchicken,16,10,68.75%,0.94,81 638
85,Akitsushima_Kai,16,11,68.75%,1.06,124 059
86,_Atlanta_,16,10,68.75%,1.19,101 801
87,Hopar_Sha,16,8,68.75%,1.19,97 582
88,YTH719,16,10,68.75%,0.94,115 928
89,WillFireForFood,19,8,68.42%,0.95,80 209
90,Thedemon21,19,10,68.42%,1.26,123 320
91,Ookura_Resona,19,8,68.42%,1.05,81 167
92,La_Republique,19,8,68.42%,1.0,104 068
93,_Vexed_Chaos_,41,7,68.29%,0.9,105 980
94,vegasriddler,22,9,68.18%,0.73,90 005
95,39Saku_Chan,22,8,68.18%,0.77,88 318
96,Grand_Elector,25,8,68%,0.64,60 913
97,Nai_John,25,9,68%,0.92,109 243
98,ichbineineeinzigekugel,31,5,67.74%,0.87,145 997
99,evendervaulz,33,8,66.67%,0.67,51 035
100,_Guest_,18,10,66.67%,0.39,50 024
100,MCC1776,15,10,66.67%,0.87,86 005
100,CatalKailo,15,10,66.67%,1.2,92 827
100,_TheDesertFox__,18,10,66.67%,1.33,116 731
100,sirrobinx,21,10,66.67%,0.95,111 220
100,Drazhen_JEFF,21,8,66.67%,0.57,106 572
100,Yamamoto1941,15,9,66.67%,1.4,86 223
100,Router51,15,10,66.67%,0.53,73 366
100,red_cricket,15,9,66.67%,0.6,73 535
100,capitankelvinxD,27,8,66.67%,0.67,67 872
100,Viito,15,10,66.67%,0.67,79 893
100,SoS_Cassiano,18,9,66.67%,0.78,92 208
100,Jakespiere1,21,11,66.67%,0.76,82 661
100,WhiskyTangoFoxtrot_3,15,9,66.67%,0.67,62 741
100,Serenesail,18,8,66.67%,0.72,50 946
100,EmmanuelMX,18,9,66.67%,0.83,95 354
100,Todoko,18,9,66.67%,1.11,106 223
100,dedao2005,21,9,66.67%,0.9,130 079
100,1246138180,15,9,66.67%,0.6,52 335
100,graafferdinand,15,10,66.67%,1.07,107 346
