,Player,Battles,Rank,Win rate,Avg. frags,Avg. damage
860,_SHD_Fastrax,19,15,26.32%,0.16,16 868
860,Klein_Bottle,19,12,26.32%,0.58,79 751
862,jacmcm55,16,15,25%,0.31,56 153
862,Somers_Glau,16,12,25%,0.81,66 083
864,Bison,21,16,23.81%,0.52,51 962
865,SkidRow777,22,12,22.73%,0.41,74 805
866,Made_in_the_USA_,18,15,22.22%,0.22,23 558
866,love_destroyerBR,18,16,22.22%,0.44,34 093
868,LickMyToesKent,19,15,21.05%,1.05,90 577
869,elm158050,15,14,20%,0.13,53 688
869,Shigure_tears,15,12,20%,0.67,70 483
869,HMS__Rodney,15,15,20%,0.33,59 650
869,Gsxtsy1970,20,15,20%,0.35,42 173
869,fujiat1207,20,14,20%,0.15,26 705
874,popeye1492,19,15,15.79%,0.11,27 906
875,CMD_007,14,15,14.29%,0.21,16 113
